"",Enero ,Febrero ,Marzo ,Abril ,Mayo ,Junio ,Julio ,Agosto ,Septiembre ,Octubre ,Noviembre ,Diciembre,""
Aguascalientes ,  2 ,  5 ,  4 ,  5 ,  12 ,  1 ,  4 ,  3 ,  3 ,  2 ,  0 ,  4 ,  45
Baja California ,  3 ,  23 ,  201 ,  30 ,  41 ,  25 ,  24 ,  34 ,  30 ,  16 ,  12 ,  8 ,  447
Baja California Sur ,  63 ,  40 ,  30 ,  48 ,  54 ,  64 ,  65 ,  56 ,  60 ,  88 ,  50 ,  51 ,  669
Campeche ,  94 ,  135 ,  182 ,  59 ,  88 ,  158 ,  187 ,  72 ,  150 ,  144 ,  97 ,  25 , 1 391
Coahuila ,  1 ,  13 ,  17 ,  8 ,  15 ,  18 ,  76 ,  8 ,  8 ,  9 ,  6 ,  8 ,  187
Colima ,  23 ,  4 ,  4 ,  8 ,  4 ,  8 ,  21 ,  6 ,  13 ,  25 ,  56 ,  39 ,  211
Chiapas ,  96 ,  174 ,  98 ,  76 ,  67 ,  87 ,  48 ,  46 ,  28 ,  57 ,  46 ,  29 ,  852
Chihuahua ,  255 ,  291 ,  300 ,  345 ,  275 ,  265 ,  331 ,  244 ,  233 ,  273 ,  172 ,  158 , 3 142
Distrito Federal ,  80 ,  119 ,  135 ,  229 ,  125 ,  136 ,  164 ,  111 ,  101 ,  111 ,  106 ,  87 , 1 504
Durango ,  42 ,  16 ,  33 ,  26 ,  23 ,  25 ,  52 ,  24 ,  31 ,  34 ,  23 ,  17 ,  346
Guanajuato ,  711 ,  655 ,  623 ,  474 ,  297 ,  320 ,  398 ,  276 ,  325 ,  336 ,  305 ,  235 , 4 955
Guerrero ,  221 ,  291 ,  249 ,  273 ,  280 ,  257 ,  291 ,  200 ,  256 ,  360 ,  321 ,  224 , 3 223
Hidalgo ,  146 ,  147 ,  126 ,  143 ,  228 ,  124 ,  214 ,  235 ,  132 ,  190 ,  105 ,  52 , 1 842
Jalisco ,  303 ,  248 ,  271 ,  299 ,  294 ,  297 ,  379 ,  290 ,  390 ,  443 ,  297 ,  263 , 3 774
México ,  180 ,  291 ,  426 , 1 009 , 1 007 , 1 110 , 1 308 , 1 064 , 1 010 , 1 163 , 1 019 ,  622 , 10 209
Michoacán ,  432 ,  458 ,  508 ,  529 ,  608 ,  518 ,  627 ,  776 ,  824 ,  962 ,  667 ,  583 , 7 492
Morelos ,  33 ,  96 ,  99 ,  130 ,  80 ,  102 ,  91 ,  91 ,  123 ,  124 ,  103 ,  79 , 1 151
Nayarit ,  51 ,  144 ,  71 ,  29 ,  68 ,  53 ,  65 ,  91 ,  56 ,  172 ,  52 ,  42 ,  894
Nuevo León ,  328 ,  363 ,  295 ,  171 ,  162 ,  175 ,  120 ,  120 ,  74 ,  146 ,  92 ,  132 , 2 178
Oaxaca ,  19 ,  23 ,  49 ,  74 ,  38 ,  39 ,  32 ,  37 ,  43 ,  53 ,  41 ,  36 ,  484
Puebla ,  84 ,  67 ,  85 ,  110 ,  126 ,  120 ,  149 ,  53 ,  131 ,  134 ,  79 ,  51 , 1 189
Querétaro ,  342 ,  379 ,  459 ,  688 ,  433 ,  239 ,  424 ,  443 ,  575 ,  816 ,  638 ,  544 , 5 980
Quintana Roo ,  55 ,  83 ,  74 ,  168 ,  142 ,  147 ,  98 ,  81 ,  76 ,  73 ,  75 ,  57 , 1 129
San Luis Potosí ,  31 ,  19 ,  23 ,  36 ,  39 ,  92 ,  52 ,  76 ,  68 ,  56 ,  58 ,  30 ,  580
Sinaloa ,  11 ,  11 ,  2 ,  13 ,  20 ,  24 ,  26 ,  18 ,  15 ,  14 ,  9 ,  14 ,  177
Sonora ,  54 ,  63 ,  53 ,  74 ,  18 ,  47 ,  36 ,  35 ,  50 ,  101 ,  24 ,  27 ,  582
Tabasco ,  34 ,  82 ,  31 ,  69 ,  61 ,  92 ,  119 ,  93 ,  99 ,  174 ,  83 ,  23 ,  960
Tamaulipas ,  158 ,  168 ,  237 ,  399 ,  255 ,  244 ,  313 ,  270 ,  322 ,  375 ,  277 ,  69 , 3 087
Tlaxcala ,  58 ,  61 ,  81 ,  121 ,  98 ,  85 ,  124 ,  96 ,  99 ,  133 ,  106 ,  95 , 1 157
Veracruz ,  140 ,  148 ,  112 ,  136 ,  141 ,  175 ,  200 ,  119 ,  177 ,  224 ,  160 ,  147 , 1 879
Yucatán ,  146 ,  179 ,  116 ,  183 ,  158 ,  131 ,  155 ,  189 ,  150 ,  239 ,  140 ,  126 , 1 912
Zacatecas ,  61 ,  83 ,  116 ,  83 ,  122 ,  108 ,  84 ,  67 ,  128 ,  113 ,  42 ,  40 , 1 047
TOTAL GLOBAL , 4 257 , 4 879 , 5 110 , 6 045 , 5 379 , 5 286 , 6 277 , 5 324 , 5 780 , 7 160 , 5 261 , 3 917 , 64 675
